Numer of labeled samples:40452   AUC:0.848
Numer of labeled samples:40435   AUC:0.844
Numer of labeled samples:40445   AUC:0.847
Numer of labeled samples:40432   AUC:0.848
Numer of labeled samples:40469   AUC:0.846
Numer of labeled samples:40461   AUC:0.842
Numer of labeled samples:40508   AUC:0.853
Numer of labeled samples:40453   AUC:0.844
Numer of labeled samples:40507   AUC:0.846
Numer of labeled samples:40487   AUC:0.842
Numer of labeled samples:40496   AUC:0.847
Numer of labeled samples:40446   AUC:0.846
Numer of labeled samples:40478   AUC:0.857
Numer of labeled samples:40482   AUC:0.852
Numer of labeled samples:40430   AUC:0.851
Numer of labeled samples:40398   AUC:0.853
Numer of labeled samples:40530   AUC:0.849
Numer of labeled samples:40662   AUC:0.845
Numer of labeled samples:40481   AUC:0.854
Numer of labeled samples:40468   AUC:0.848
Numer of labeled samples:40472   AUC:0.846
Numer of labeled samples:40731   AUC:0.846
Numer of labeled samples:40657   AUC:0.846
Numer of labeled samples:40607   AUC:0.850
Numer of labeled samples:40634   AUC:0.849
Numer of labeled samples:40534   AUC:0.854
Numer of labeled samples:40605   AUC:0.851
Numer of labeled samples:40583   AUC:0.844
Numer of labeled samples:40596   AUC:0.850
Numer of labeled samples:40588   AUC:0.847
Numer of labeled samples:40608   AUC:0.848
Numer of labeled samples:40661   AUC:0.849
Numer of labeled samples:40548   AUC:0.844
Numer of labeled samples:40666   AUC:0.850
Numer of labeled samples:40566   AUC:0.845
Numer of labeled samples:40602   AUC:0.847
Numer of labeled samples:40576   AUC:0.841
Numer of labeled samples:40578   AUC:0.853
Numer of labeled samples:40589   AUC:0.854
Numer of labeled samples:40675   AUC:0.844
Numer of labeled samples:40629   AUC:0.840
Numer of labeled samples:40596   AUC:0.848
Numer of labeled samples:40607   AUC:0.852
Numer of labeled samples:40798   AUC:0.844
Numer of labeled samples:40647   AUC:0.851
Numer of labeled samples:40605   AUC:0.846
Numer of labeled samples:40618   AUC:0.857
Numer of labeled samples:40753   AUC:0.845
Numer of labeled samples:40642   AUC:0.840
Numer of labeled samples:40808   AUC:0.837
Numer of labeled samples:40699   AUC:0.848
Numer of labeled samples:40764   AUC:0.846
Numer of labeled samples:40732   AUC:0.843
Numer of labeled samples:40714   AUC:0.851
Numer of labeled samples:40635   AUC:0.843
Numer of labeled samples:40776   AUC:0.846
Numer of labeled samples:40668   AUC:0.843
Numer of labeled samples:40847   AUC:0.842
Numer of labeled samples:40788   AUC:0.845
Numer of labeled samples:40656   AUC:0.853
Numer of labeled samples:40701   AUC:0.854
Numer of labeled samples:40664   AUC:0.844
Numer of labeled samples:40827   AUC:0.844
Numer of labeled samples:40687   AUC:0.845
Numer of labeled samples:40661   AUC:0.848
Numer of labeled samples:40750   AUC:0.848
Numer of labeled samples:40680   AUC:0.845
Numer of labeled samples:40741   AUC:0.855
Numer of labeled samples:40657   AUC:0.844
Numer of labeled samples:40771   AUC:0.839
Numer of labeled samples:40733   AUC:0.842
Numer of labeled samples:40807   AUC:0.848
Numer of labeled samples:40790   AUC:0.848
Numer of labeled samples:40795   AUC:0.843
Numer of labeled samples:40777   AUC:0.844
Numer of labeled samples:41136   AUC:0.844
Numer of labeled samples:40757   AUC:0.850
Numer of labeled samples:40830   AUC:0.844
Numer of labeled samples:40797   AUC:0.858
Numer of labeled samples:40921   AUC:0.845
Numer of labeled samples:40790   AUC:0.848
Numer of labeled samples:40955   AUC:0.847
Numer of labeled samples:40759   AUC:0.840
Numer of labeled samples:40797   AUC:0.843
Numer of labeled samples:40855   AUC:0.846
Numer of labeled samples:40748   AUC:0.842
Numer of labeled samples:40954   AUC:0.847
Numer of labeled samples:40915   AUC:0.846
Numer of labeled samples:40923   AUC:0.847
Numer of labeled samples:40835   AUC:0.846
Numer of labeled samples:40971   AUC:0.850
Numer of labeled samples:40840   AUC:0.846
Numer of labeled samples:41021   AUC:0.843
